Method,Year,Date ,Enter by,Electronic Enter by ,Time to Start,Observe Intervals ,Block,H-ID,HP,Source,Source ID,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Note
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,2,Qv-F,KRE,51,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,3,Qv-T,Rice,P4G33,F,NA,C,C,C,Qg,C,C,C,Qv,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,4,Qv-F,KRE,,M,NA,C,C,C,C,C,C,C,Qv,Qv,Qv,C,Qv,Qv,Qv,Qv,Qg,C,Qv,Qv,Qv,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,5,Qv-T,Rice,P4G19,F,NA,Qg,Qg,Qg,Qg,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qg,Qg,Qv,Qv,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,6,Qv-F,KRE,39,M,NA,C,C,Qv,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,7,Qv-F,KRE,58,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,8,Qv-T,Rice,P4G33,F,NA,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,Qv,C,C,C,C,Qv,Qv,Qv,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,9,Qv-T,Rice,P4G28,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,10,Qv-F,KRE,39,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,11,Qv-F,KRE,39,F,NA,Qv,Qg,Qg,C,Qv,Qg,Qv,Qg,Qg,Qg,Qg,Qg,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,12,Qv-T,Rice,P4G33,F,NA,Qv,C,C,C,C,Qv,Qv,C,C,Qg,C,C,C,C,C,Qg,C,C,Qv,Qv,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,13,Qv-T,Rice,P4G28,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,14,Qv-F,KRE,39,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,15,Qv-T,Rice,P4G38,M,NA,C,C,C,C,C,Qg,Qg,Qg,Qg,Qg,Qg,C,C,Qv,Qv,Qv,Qg,C,Qg,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,16,Qv-T,Rice,P4G38,M,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,17,Qv-T,Rice,P4G19,F,NA,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,Qg,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,18,Qv-F,KRE,39,M,NA,Qv,Qv,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,19,Qv-T,Rice,P4G38,M,NA,C,Qv,Qv,Qv,C,Qv,C,Qv,Qv,Qv,Qv,C,C,C,C,C,Qv,Qv,Qv,Qv,
cup,2016,4.7.16,LZ/GAD,SL,13:30,2 min,1,20,Qv-F,KRE,58,F,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,21,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,22,Qv-F,KRE,57,M,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,23,Qv-T,Rice,TIP4G32,M,NA,C,Qg,C,C,C,C,NA,Qv,C,C,C,C,C,C,C,C,C,C,C,C,
cup,2016,4.7.16,LZ,SL,16:35,2 min,2,24,Qv-T,Rice,TIP4G32,M,NA,C,C,Qg,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,
